Beginning_Stocks,Production,Imports,Total_Supply,Food_Alcohol_Industrial,Seed_Use,Feed_Residual,Total_Domestic_Use,Exports,Total_Use,Ending_Stocks,Year
92.0,379.162,12.6,483.762,130.5,15.7,186.402,332.602,22.801,355.403,128.359,1975
128.359,383.007,8.608,519.974,136.9,18.2,173.679,328.779,64.788,393.567,126.407,1976
126.407,427.784,6.443,560.634,138.6,16.8,176.678,332.078,55.497,387.575,173.059,1977
173.059,454.759,6.713,634.531,153.6,13.6,214.639,381.839,24.649,406.488,228.043,1978
228.043,383.201,7.166,618.41,157.8,13.9,201.759,373.459,52.82,426.279,192.131,1979
192.131,361.135,5.865,559.131,162.4,15.9,167.846,346.146,75.66,421.806,137.325,1980
137.325,473.512,6.876,617.713,157.9,15.9,197.734,371.534,98.382,469.916,147.797,1981
147.797,515.935,8.351,672.083,156.8,17.2,237.216,411.216,44.17,455.386,216.697,1982
216.697,508.269,5.045,730.011,154.5,19.5,277.8,451.8,88.818,540.618,189.393,1983
189.393,598.034,7.423,794.85,153.1,21.4,301.301,475.801,71.655,547.456,247.394,1984
247.394,590.213,6.245,843.852,156.5,21.3,319.098,496.898,19.71,516.608,327.244,1985
327.244,608.532,6.666,942.442,154.323,17.9,300.29,472.513,133.617,606.13,336.312,1986
336.312,521.499,11.302,869.113,155.372,15.7,255.935,427.007,120.979,547.986,321.127,1987
321.127,289.994,10.511,621.632,155.889,15.0,175.017,345.906,79.33,425.236,196.396,1988
196.396,404.203,13.076,613.675,160.623,13.5,189.78,363.903,88.956,452.859,160.816,1989
160.816,422.196,13.48,596.492,159.72,14.6,206.908,381.228,79.882,461.11,135.382,1990
135.382,464.326,24.521,624.229,159.771,12.8,228.516,401.087,94.545,495.632,128.597,1991
128.597,455.09,11.405,595.092,159.874,12.9,190.845,363.619,80.291,443.91,151.182,1992
151.182,398.041,71.476,620.699,160.143,11.9,243.74,415.783,66.058,481.841,138.858,1993
138.858,374.862,65.864,579.584,161.471,11.1,228.18,400.751,66.24,466.991,112.593,1994
112.593,359.376,40.722,512.691,148.236,11.716,190.746,350.698,62.4,413.098,99.593,1995
99.593,392.433,36.771,528.797,159.824,11.074,217.625,388.523,30.824,419.347,109.45,1996
109.45,359.878,40.25,509.578,156.427,10.409,149.131,315.967,74.378,390.345,119.233,1997
119.233,351.569,29.805,500.607,154.796,8.488,167.141,330.425,28.529,358.954,141.653,1998
141.653,271.996,27.671,441.32,151.9,9.639,140.285,301.824,28.172,329.996,111.324,1999
111.324,317.804,29.223,458.351,150.571,8.201,135.545,294.317,57.775,352.092,106.259,2000
106.259,248.329,23.923,378.511,147.315,8.212,104.447,259.974,26.408,286.382,92.129,2001
92.129,226.906,18.455,337.49,145.657,8.737,83.5,237.894,30.256,268.15,69.34,2002
69.34,278.283,20.627,368.25,147.445,7.437,74.273,229.155,18.787,247.942,120.308,2003
120.308,279.743,12.122,412.173,151.403,6.401,102.702,260.506,23.25,283.756,128.417,2004
128.417,211.896,5.367,345.68,156.679,5.72,47.537,209.936,27.813,237.749,107.931,2005
107.931,180.165,12.104,300.2,155.315,6.569,49.177,211.061,20.259,231.32,68.88,2006
68.88,210.11,29.232,308.222,161.567,7.001,30.007,198.575,41.424,239.999,68.223,2007
68.223,239.072,29.029,336.324,163.0,5.88,65.501,234.381,13.21,247.591,88.733,2008
88.733,226.603,16.596,331.932,158.728,4.995,47.049,210.772,5.661,216.433,115.499,2009
115.499,180.241,9.494,305.234,153.728,4.79,49.787,208.305,7.578,215.883,89.351,2010
89.351,154.788,16.256,260.395,148.972,6.028,36.563,191.563,8.845,200.408,59.987,2011
59.987,218.99,23.29,302.267,141.023,5.787,66.203,213.013,8.857,221.87,80.397,2012
80.397,216.745,18.748,315.89,148.33,5.145,65.887,219.362,14.273,233.635,82.255,2013
82.255,181.542,23.569,287.366,154.25,5.884,34.354,194.488,14.299,208.787,78.579,2014
78.579,218.187,18.581,315.347,153.082,5.16,44.194,202.436,10.801,213.237,102.11,2015
